test,period,psd
1_control_dl,42.0,41023.77254616248
1_control_dl,33.6,341145.3066365391
1_control_dl,28.0,25564.04014709464
1_control_dl,24.0,2788553.3497682125
1_control_dl,21.0,75389.7529608438
1_control_dl,18.666666666666668,24112.12871911687
1_control_dl,16.8,131425.95884158835
1_control_dl,15.272727272727275,64691.060076493224
1_control_dl,14.0,259725.16944804342
1_control_dl,12.923076923076923,74377.06226205181
1_control_dl,12.0,2945687.984099597
1_control_dl,11.200000000000001,43806.55059382047
1_control_dl,10.5,38590.527407177215
1_control_dl,9.882352941176471,124285.29622341403
1_control_dl,9.333333333333334,136381.4373605182
1_control_dl,8.842105263157896,66259.9301753183
1_control_dl,8.4,127440.41812225284
1_control_dl,8.0,780980.5474343225
1_control_dl,7.636363636363638,46073.19452947215
1_control_dl,7.304347826086957,32011.84320148413
1_control_dl,7.0,180690.62838472734
1_control_dl,6.72,24725.62230801641
1_control_dl,6.461538461538462,43272.21643728663
1_control_dl,6.222222222222223,6989.473107357444
1_control_dl,6.0,410677.0674336612
1_control_dl,5.793103448275862,143143.6527522581
1_control_dl,5.6000000000000005,87465.66143992933
1_control_dl,5.419354838709678,12356.45055624656
1_control_dl,5.25,121138.40578176215
1_control_dl,5.090909090909091,36941.745997472644
1_control_dl,4.9411764705882355,27977.288221575913
1_control_dl,4.800000000000001,116755.12116342946
1_control_dl,4.666666666666667,104688.42143431035
1_control_dl,4.54054054054054,63333.63710632351
1_control_dl,4.421052631578948,12120.967890108877
1_control_dl,4.307692307692308,15069.919371511623
1_control_dl,4.2,4737.591920580165
1_control_dl,4.097560975609756,4099.479976117136
1_control_dl,4.0,223.56241670384682
1_control_dl,3.906976744186047,2403.379564874067
1_control_dl,3.818181818181819,22064.876495706292
1_control_dl,3.7333333333333334,2342.3924644395247
1_control_dl,3.6521739130434785,6639.858223527614
1_control_dl,3.574468085106383,3133.538444920044
1_control_dl,3.5,576.8122511332725
1_control_dl,3.428571428571429,9509.09161779059
1_control_dl,3.36,16916.69769458296
1_control_dl,3.294117647058824,7673.537094748009
1_control_dl,3.230769230769231,4159.171436816507
1_control_dl,3.169811320754717,2410.5654137664123
1_control_dl,3.1111111111111116,2886.217802673225
1_control_dl,3.0545454545454547,1736.8002836414857
1_control_dl,3.0,2058.5718330491086
1_control_dl,2.947368421052632,1927.419021114776
1_control_dl,2.896551724137931,2300.69604979448
1_control_dl,2.8474576271186445,3482.861606168324
1_control_dl,2.8000000000000003,812.1394128657174
1_control_dl,2.7540983606557377,2066.8389884171684
1_control_dl,2.709677419354839,945.4567319968493
1_control_dl,2.6666666666666665,1534.1901786298035
1_control_dl,2.625,124.01811178331513
1_control_dl,2.5846153846153848,6294.682005443495
1_control_dl,2.5454545454545454,2008.8561738107853
1_control_dl,2.5074626865671643,3044.370777283812
1_control_dl,2.4705882352941178,1686.4831760961304
1_control_dl,2.4347826086956523,5210.49199035953
1_control_dl,2.4000000000000004,2210.061651161805
1_control_dl,2.3661971830985915,1802.6417073359582
1_control_dl,2.3333333333333335,8751.819409164316
1_control_dl,2.301369863013699,27826.114634179492
1_control_dl,2.27027027027027,4463.5740664300865
1_control_dl,2.24,3841.150849158982
1_control_dl,2.210526315789474,17022.897364802528
1_control_dl,2.181818181818182,4228.382266017484
1_control_dl,2.153846153846154,5973.302795124886
1_control_dl,2.126582278481013,6348.616910200955
1_control_dl,2.1,10881.666184070991
1_control_dl,2.0740740740740744,15683.899514532868
1_control_dl,2.048780487804878,7388.975864340878
1_control_dl,2.024096385542169,14304.304641164437
1_control_dl,2.0,11425.021409570483
2_control_dd,46.4,27622.418266155426
2_control_dd,43.5,533115.9140297701
2_control_dd,40.94117647058824,158402.77837146292
2_control_dd,38.666666666666664,70176.29531665861
2_control_dd,36.63157894736842,82551.4907729951
2_control_dd,34.8,191082.57675893066
2_control_dd,33.142857142857146,109160.07615660514
2_control_dd,31.636363636363633,110607.22124514416
2_control_dd,30.26086956521739,14229.493225544453
2_control_dd,29.0,125789.52688254789
2_control_dd,27.840000000000003,1814870.4058970453
2_control_dd,26.769230769230774,264460.89727128047
2_control_dd,25.77777777777778,709644.4318210506
2_control_dd,24.857142857142858,449772.2905170808
2_control_dd,24.0,11991148.267402008
2_control_dd,23.2,338668.5925203535
2_control_dd,22.451612903225804,901326.066232367
2_control_dd,21.75,17782.436414377422
2_control_dd,21.090909090909093,26795.664653079722
2_control_dd,20.47058823529412,351422.991698396
2_control_dd,19.885714285714286,540419.4938551333
2_control_dd,19.333333333333332,68143.3781190908
2_control_dd,18.81081081081081,102357.44648892932
2_control_dd,18.31578947368421,110897.31207844532
2_control_dd,17.846153846153847,51795.198725456255
2_control_dd,17.4,71345.56026854596
2_control_dd,16.975609756097562,9030.385826137188
2_control_dd,16.571428571428573,254098.50571315983
2_control_dd,16.186046511627907,89729.142127156
2_control_dd,15.818181818181817,196153.2388307173
2_control_dd,15.466666666666665,479870.94532361376
2_control_dd,15.130434782608695,18744.28667722492
2_control_dd,14.808510638297872,608119.1826284023
2_control_dd,14.5,82525.5238598638
2_control_dd,14.204081632653061,60467.76150756091
2_control_dd,13.920000000000002,43255.90980822305
2_control_dd,13.647058823529413,223832.21178321616
2_control_dd,13.384615384615387,12103.241756900037
2_control_dd,13.132075471698112,375962.45319539856
2_control_dd,12.88888888888889,80029.00030048078
2_control_dd,12.654545454545454,186167.47301008034
2_control_dd,12.428571428571429,142759.84329449205
2_control_dd,12.210526315789474,293575.90447792725
2_control_dd,12.0,1350094.1417407012
2_control_dd,11.796610169491526,761741.8545540805
2_control_dd,11.6,888359.6616666408
2_control_dd,11.40983606557377,161244.15957700767
2_control_dd,11.225806451612902,249673.7091226919
2_control_dd,11.047619047619047,83883.2341839607
2_control_dd,10.875,621922.1518521426
2_control_dd,10.707692307692309,25590.39369127036
2_control_dd,10.545454545454547,39704.73662804404
2_control_dd,10.388059701492539,203182.50057593433
2_control_dd,10.23529411764706,9708.680509822903
2_control_dd,10.08695652173913,47299.29426384104
2_control_dd,9.942857142857143,332620.10376321094
2_control_dd,9.80281690140845,110748.65628060467
2_control_dd,9.666666666666666,11089.412364989383
2_control_dd,9.534246575342467,88110.49166658222
2_control_dd,9.405405405405405,11298.228485517238
2_control_dd,9.280000000000001,124472.33059650047
2_control_dd,9.157894736842104,147613.4301337566
2_control_dd,9.03896103896104,33816.27460234934
2_control_dd,8.923076923076923,10320.255764076537
2_control_dd,8.810126582278482,2252.5760454323286
2_control_dd,8.7,261149.7713406486
