Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10411459,Tmem171,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,424.4;428.1;457.8;454.0;421.4;360.0;242.0;165.9;193.8;185.8;260.4;307.1;382.4;443.9;413.3;421.3;380.1;275.1;251.2;170.0;168.1;132.8;278.2;398.5,0.000488,0.630717,23.064,21.91,heart
10410465,BC018507,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,733.8;762.6;730.5;738.4;709.0;684.8;571.8;600.3;539.7;531.3;584.3;668.8;678.5;725.9;734.2;776.1;721.2;657.4;614.2;591.4;546.7;586.5;586.8;672.6,0.000577,0.630717,23.892,22.26,heart
10389581,Ypel2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,437.5;447.5;456.6;363.2;395.5;278.0;209.9;224.3;243.3;260.5;289.7;340.7;377.6;449.8;438.6;430.3;418.3;266.9;254.1;246.3;234.9;271.0;294.4;410.3,0.000714,0.630717,23.892,21.87,heart
10375402,Adam19,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,523.4;759.6;690.8;609.2;740.6;510.9;374.3;304.6;252.6;296.7;264.4;425.2;515.4;668.7;782.5;619.7;715.6;390.6;305.7;270.3;246.4;261.0;293.4;466.8,0.000715,0.630717,23.892,22.07,heart
10446965,Rasgrp3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1055.3;1138.4;1036.3;1121.3;1118.8;1005.3;984.7;1004.4;854.3;849.7;870.2;917.5;974.6;1026.5;1056.7;1159.1;1081.2;1074.2;1004.7;934.9;867.5;818.0;812.7;902.9,0.000898,0.630717,24.783,23.9,heart
10556442,Tead1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1900.8;2138.5;2085.1;1978.1;1812.9;1749.0;1662.4;1716.2;1602.1;1688.0;1740.4;1752.8;1909.6;2018.1;2054.5;1889.0;1873.4;1712.3;1670.8;1648.6;1485.7;1562.2;1612.0;1732.6,0.000974,0.630717,24.783,21.7,heart
10556456,Tead1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2745.9;3135.3;2982.4;2790.8;2698.7;2637.9;2329.3;2531.3;2328.2;2470.8;2477.0;2580.2;2915.2;3028.5;3006.7;2943.4;2756.6;2546.8;2294.4;2422.5;2124.0;2197.8;2409.1;2602.5,0.00101,0.630717,24.783,21.69,heart
10367673,Plekhg1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,285.0;302.6;277.9;303.1;294.7;258.8;221.1;232.4;215.5;217.8;201.1;242.0;230.6;299.3;327.1;308.5;294.7;268.2;250.7;226.3;200.7;222.4;204.3;245.2,0.00104,0.630717,24.783,22.73,heart
10389701,Akap1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1172.6;1299.2;1242.8;1352.3;1248.0;1228.5;1057.5;1108.3;947.3;1031.9;984.8;1058.9;1130.2;1403.7;1438.9;1337.0;1280.0;1175.6;1117.8;1082.4;880.2;981.7;963.5;1083.2,0.00109,0.630717,23.892,22.37,heart
10355893,Epha4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,690.2;867.3;856.5;762.8;840.3;852.6;733.9;646.3;541.5;561.0;496.1;644.4;598.0;898.5;994.0;863.5;843.1;790.1;704.1;592.0;550.2;505.2;458.2;612.0,0.00127,0.630717,23.892,22.99,heart
